ds,yhat,yhat_lower,yhat_upper
2018-01-01,27554.309891239827,21039.369647792482,33384.70133920236
2018-02-01,29243.875225739546,23339.796281308405,35262.98939869278
2018-03-01,30183.176331354764,23980.29058378409,36480.11299948597
2018-04-01,30039.014136569866,23476.69310034441,36354.709666214694
2018-05-01,28173.094616572816,21998.833823944606,34585.98581011533
2018-06-01,25391.260663869263,19284.10965009717,32307.763881614
2018-07-01,22359.05073733031,15951.802059728248,28582.874157967803
2018-08-01,20140.00540286649,14010.366719968722,26084.897196477203
2018-09-01,18969.660148474057,12124.39058896843,25489.98097511212
2018-10-01,20167.620122559267,13808.139005047275,26800.278063118145
2018-11-01,22793.886247768816,16290.33869050799,28902.164701314112
2018-12-01,25204.502256307995,18765.124478582562,31129.4289404933
2019-01-01,27894.271292129193,21348.61044644799,34170.99620360986
2019-02-01,29868.84037798902,23151.882394203498,36668.747489473826
2019-03-01,30585.894829375404,24123.250748255246,37078.88204874866
2019-04-01,30388.275824186225,23993.633647282808,36437.68973622185
2019-05-01,28592.039312015153,21999.17942248452,35065.65155954704
2019-06-01,25923.420827893315,19283.583316989163,32344.606989994678
2019-07-01,22877.530986102676,16698.23873101693,29332.974987444788
2019-08-01,20530.35131155968,14201.30660969019,27160.484837261494
2019-09-01,19503.871668475702,12924.35252026279,26122.516968255888
2019-10-01,20559.426064372557,13987.211091179492,27082.90797159465
2019-11-01,23146.719266725755,16505.04969410544,29541.908060578284
2019-12-01,25643.271231798386,19152.801974307084,31637.91919175818
2020-01-01,28237.058092942334,21366.0629903692,34890.90754969093
2020-02-01,30494.581109935807,24244.96706148606,36516.24324810573
2020-03-01,31139.277965824134,24706.257207394705,37467.20458766509
2020-04-01,31111.099760001787,24547.108769007922,37571.16532801982
2020-05-01,29116.33849909136,22199.01428180333,35523.63319441141
2020-06-01,26106.17097112094,19175.575404174204,32858.076888662305
2020-07-01,23092.608678005057,16892.732646100052,30028.822442096647
2020-08-01,21133.052027581314,14379.892219620733,27402.721451612422
2020-09-01,19674.917079779232,13321.74358233059,26175.46566112618
2020-10-01,21151.543026299165,14599.064807494131,27381.25945049578
2020-11-01,23862.185311986184,17290.83385223748,30175.25718503063
2020-12-01,26103.360034884205,19566.392701923705,32057.376117750082
2021-01-01,28990.718100013146,22573.698949347552,35335.7815083614
2021-02-01,30393.475207360832,24321.36567135083,36961.83241346933
2021-03-01,31550.03347983847,25117.408600073017,38099.534447199854
2021-04-01,31462.38996728356,25535.454115555192,37658.33856874763
2021-05-01,29530.27086114091,23419.6200531825,35738.0867330125
2021-06-01,26634.540935213212,20125.6773936535,32723.58002171358
2021-07-01,23613.107540176323,16767.215538207187,30125.51173258122
2021-08-01,21523.3031942469,14948.59278314961,28260.024696502314
2021-09-01,20209.034845433467,14098.665335446225,26471.1981782997
2021-10-01,21547.39191958044,14843.799973358244,28574.502901841875
2021-11-01,24214.792470263787,17861.519150847136,30324.04951562849
2021-12-01,26540.25913801004,20164.51959669361,33357.195195572174
2022-01-01,29327.890130502023,23109.4025361036,35586.288793566244
2022-02-01,31017.45543336644,24535.613525216853,37283.93681980433
2022-03-01,31956.756510233707,25827.996561465952,38811.402865295444
2022-04-01,31812.59429039897,25424.054993363377,37824.039994885934
2022-05-01,29946.674746159773,23292.83012351029,35863.31441480599
2022-06-01,27164.840768707658,20326.018029296934,34122.62114843924
2022-07-01,24132.63082584502,18039.280295657238,30672.598771257824
2022-08-01,21913.58547451235,15688.683413391824,28306.855932674585
2022-09-01,20743.240200704066,14218.07148536811,27426.180610253476
2022-10-01,21941.20015712796,15485.796985490359,28276.029776569194
2022-11-01,24567.46626408712,18064.28679354496,31213.85027248514
2022-12-01,26978.0822468122,20516.764886600256,33233.48734420198
