ds,y
2022-01-01,205826.0
2022-02-01,193968.3
2022-03-01,200615.55
2022-04-01,160043.85
2022-05-01,177941.15
2022-06-01,183456.45
2022-07-01,197931.7
2022-08-01,155409.0
2022-09-01,223898.3
2022-10-01,126068.54999999999
2022-11-01,169385.85
2022-12-01,202712.15
2023-01-01,189160.45
2023-02-01,157926.7
2023-03-01,183399.0
2023-04-01,213931.3
2023-05-01,165974.55
2023-06-01,185026.85
2023-07-01,168661.15
2023-08-01,169727.45
2023-09-01,179082.7
2023-10-01,201509.0
2023-11-01,181234.3
2023-12-01,168821.55
2024-01-01,184267.85
2024-02-01,175902.15
2024-03-01,145218.45
2024-04-01,200112.7
2024-05-01,192300.0
2024-06-01,218390.3
2024-07-01,186296.55
2024-08-01,231930.85
2024-09-01,215227.15
2024-10-01,204878.45
2024-11-01,225554.7
2024-12-01,230245.0
